customer_id,country,recency,frequency,monetary,r,f,m,rfm_score,fm,segment_key,segment,kmeans_cluster,dbscan_cluster,kmeans_optimal
600018,China,29,7,21402.78,4,4,5,445,4,44,loyal customers,0,0,0
600060,China,155,1,1201.14,2,1,2,212,1,21,hibernating,1,0,0
600462,China,211,2,2033.64,2,2,2,222,2,22,hibernating,1,0,0
600888,China,8,3,2335.80,5,3,3,533,3,53,potential loyalists,0,0,0
601014,China,225,1,230.52,2,1,1,211,1,21,hibernating,1,0,0
601236,China,15,1,1559.34,5,1,2,512,1,51,new customers,0,0,0
601284,China,22,2,2378.28,4,2,3,423,2,42,potential loyalists,0,0,0
601290,China,302,1,257.58,1,1,1,111,1,11,hibernating,1,0,0
601524,China,78,2,11880.60,3,2,4,324,3,33,need attention,0,0,0
601566,China,274,4,15514.38,1,3,5,135,4,14,at risk,1,0,0
601668,China,267,2,2428.44,1,2,3,123,2,12,hibernating,1,0,0
601872,China,29,10,2066.94,4,5,2,452,3,43,potential loyalists,0,0,0
602004,China,8,2,2630.04,5,2,3,523,2,52,potential loyalists,0,0,0
602046,China,1,39,107450.10,5,5,5,555,5,55,champions,0,0,0
602346,China,106,3,14798.34,3,3,5,335,4,34,loyal customers,0,0,0
602466,China,29,1,5885.70,4,1,4,414,2,42,potential loyalists,0,0,0
603072,China,344,1,382.56,1,1,1,111,1,11,hibernating,1,0,0
603588,China,281,2,4801.74,1,2,3,123,2,12,hibernating,1,0,0
603846,China,169,1,624.48,2,1,1,211,1,21,hibernating,1,0,0
603936,China,15,1,392.10,5,1,1,511,1,51,new customers,0,0,0
604476,China,57,11,18284.64,3,5,5,355,5,35,loyal customers,0,0,0
604770,China,162,1,9152.10,2,1,4,214,2,22,hibernating,1,0,0
605262,China,22,2,4608.54,4,2,3,423,2,42,potential loyalists,0,0,0
605724,China,365,1,1527.30,1,1,2,112,1,11,hibernating,1,0,0
605862,China,1,8,6173.58,5,4,4,544,4,54,loyal customers,0,0,0
606150,China,15,12,27520.20,5,5,5,555,5,55,champions,0,0,0
606570,China,50,26,12295.68,4,5,4,454,4,44,loyal customers,0,-1,0
607218,China,8,101,135720.36,5,5,5,555,5,55,champions,0,-1,0
607524,China,85,1,129.18,3,1,1,311,1,31,about to sleep,0,0,0
607590,China,92,3,2158.68,3,3,2,332,2,32,about to sleep,0,0,0
607740,China,8,4,13984.74,5,3,5,535,4,54,loyal customers,0,0,0
607926,China,295,1,74.28,1,1,1,111,1,11,hibernating,1,0,0
607968,China,162,2,12281.04,2,2,4,224,3,23,at risk,1,0,0
608190,China,134,4,4139.46,2,3,3,233,3,23,at risk,0,0,0
608760,China,78,4,20494.32,3,3,5,335,4,34,loyal customers,0,0,0
608808,China,64,5,11723.10,3,4,4,344,4,34,loyal customers,0,0,0
609096,China,344,1,1239.60,1,1,2,112,1,11,hibernating,1,0,0
609180,China,99,10,6027.30,3,5,4,354,4,34,loyal customers,0,0,0
609396,China,15,2,3721.26,5,2,3,523,2,52,potential loyalists,0,0,0
609486,China,288,2,11482.56,1,2,4,124,3,13,at risk,1,0,0
609516,China,29,4,4828.38,4,3,3,433,3,43,potential loyalists,0,0,0
609810,China,78,2,1312.68,3,2,2,322,2,32,about to sleep,0,0,0
